Data;Último;Abertura;Máxima;Mínima;Var%
abr/15;3,0145;3,1943;3,1943;2,8818;-5,67%
mar/15;3,1958;2,8391;3,3173;2,8391;12,57%
fev/15;2,839;2,6824;2,9214;2,666;5,84%
jan/15;2,6824;2,658;2,7314;2,5499;0,94%
dez/14;2,6575;2,5656;2,7605;2,5435;3,57%
nov/14;2,5659;2,4787;2,6296;2,4539;3,53%
out/14;2,4783;2,4437;2,5595;2,356;1,31%
set/14;2,4462;2,2371;2,4791;2,226;9,40%
ago/14;2,236;2,263;2,3079;2,2331;-1,23%
jul/14;2,2639;2,2148;2,2751;2,199;2,24%
jun/14;2,2143;2,2412;2,2918;2,1871;-1,18%
mai/14;2,2408;2,2335;2,2492;2,1994;0,35%
abr/14;2,233;2,2726;2,2893;2,1819;-1,72%
mar/14;2,2721;2,3388;2,3768;2,2481;-2,84%
fev/14;2,3384;2,4124;2,4402;2,3178;-3,08%
jan/14;2,4127;2,378;2,4506;2,3275;2,14%
dez/13;2,3621;2,3363;2,396;2,3043;1,13%
nov/13;2,3358;2,235;2,3487;2,235;4,27%
out/13;2,2401;2,2164;2,2417;2,1471;1,08%
set/13;2,2162;2,3827;2,4041;2,1796;-7,12%
ago/13;2,3862;2,2765;2,4554;2,2629;4,79%
jul/13;2,2771;2,2292;2,303;2,2067;2,02%
jun/13;2,2321;2,1438;2,2775;2,0842;4,19%
mai/13;2,1423;2,0015;2,1507;1,9945;7,02%
abr/13;2,0017;2,0182;2,0302;1,9637;-1,11%
mar/13;2,0242;1,976;2,0276;1,9412;2,22%
fev/13;1,9803;1,9909;1,9975;1,9498;-0,53%
jan/13;1,9908;2,0333;2,0507;1,9811;-2,82%
dez/12;2,0485;2,136;2,1392;2,039;-4,10%
nov/12;2,1361;2,0317;2,1377;2,0303;5,18%
out/12;2,0309;2,0286;2,0439;2,0157;0,26%
set/12;2,0257;2,0297;2,045;2,006;-0,18%
ago/12;2,0293;2,0571;2,0575;2,006;-1,33%
jul/12;2,0567;2,0056;2,0567;1,9779;2,35%
jun/12;2,0095;2,0224;2,0991;2,0042;-0,65%
mai/12;2,0226;1,9042;2,1065;1,9042;5,96%
abr/12;1,9088;1,8266;1,9123;1,8155;4,51%
mar/12;1,8264;1,7174;1,8375;1,7098;6,35%
fev/12;1,7174;1,7498;1,7498;1,6867;-1,71%
jan/12;1,7472;1,8665;1,8754;1,7321;-6,23%
dez/11;1,8632;1,8083;1,8884;1,7755;3,04%
nov/11;1,8083;1,7172;1,914;1,713;5,31%
out/11;1,7172;1,8777;1,9175;1,6711;-8,61%
set/11;1,879;1,5892;1,9498;1,5886;18,24%
ago/11;1,5892;1,5501;1,6585;1,545;2,60%
jul/11;1,549;1,5621;1,5854;1,528;-0,84%
jun/11;1,5622;1,5788;1,6163;1,5573;-1,13%
